A  "A:
TULOSBA  t }: "l U s p a
ARETPECCA  a r e: "t p e s k a
MADA  m a d "A:
ÖJDA  9 "j a
SSERDA  s E r "d a
TAKOVDA  t A: "k U v d a
RÄFFA  r E: "f a
NERÄFFA  n e r E: "f a
RERÄFFA  r e r E: "f a
TNEGA  t n E "g a
JA  j "a
ATKA  a t k "a
LA  l "A:
NALA  n A: "l a
GIRDLA  g I r d l "a
XELA  s k e l "a
ECILA  s I l "a
LLA  l "a
ALLA  a l "a
SELEDLLA  s e l e d l "a
POHILLA  p u: "h I l a
APOHILLA  a p u: "h I l a
SLLA  s l "a
TLLA  t l "a
DITLLA  d I t l "a
POHITLLA  p u: "h I t l a
GNITLLA  N I t l "a
ÅSTLLA  O s t l "a
RAVLLA  r A: v l "a
TGILRAVLLA  t k I l` A: %v l "a
GITKARÖTAMA  g I t k %a r 2: "t a m a
AKIREMA  a k I r e: "m a
AKSNAKIREMA  a k s n A: "k I r e m a
NA  n "a
DNA  d n "a
SADNA  s a d n "a
ARDNA  A: r d n "a
YDNA  Y d n "a
GNINA  N I n "A:
GNINDELNA  N I n d e: %l n "a
ANNA  a n "a
NANNA  n a n "a
SNATSNANNA  s n a t %s n a n "a
SRANNA  s` a n "a
TANNA  t a n "a
ADNULRONNA  a d n u0 %l` U n "a
RESNA  r e: %s n "a
ETKISNA  e t k I s n "a
TETKISNA  t e t k I s n "a
RAVSNA  r A: v %s n "a
GIRAVSNA  g I r A: v %s n "a
NEGILGATNA  n e g I l g A: %t n "a
RATNA  r A: %t n "a
NEGNITNA  n e N I t n "a
DNÄVNA  d n E %v n "a
ADNÄVNA  a d n E %v n "a
EDNÄVNA  e d n E %v n "a
REDNÄVNA  r e d n E %v n "a
RA  r "A:
ATEBRA  a t e: b r "a
RATEBRA  r a t e: b r "a
ETEBRA  e t e: b r "a
TETEBRA  t e t e: b r "a
GRA  j r "a
MRA  m r "a
ÉMRA  e: "m r a
NÉMRA  n e: "m r a
RUHTRA  r u0 t` "a
TTA  t "a
VA  v a
RYKSVA  r y: %S v "A:
ATULSVA  a t }: l %s v "A:
LATVA  l A: %t v "A:
B  e: "b
YBAB  I b E: "b
AKCAB  a k a "b
DAB  d A: "b
KAB  k A: "b
MOKAB  m O k A: "b
DNAB  d n a "b
TEDNAB  t e d n a "b
NEKNAB  n e k N a "b
RAB  r A: "b
ARAB  a r A: "b
NERAB  n e r A: "b
NRAB  n` A: "b
NENRAB  n e n` A: "b
TENRAB  t e n` A: "b
EB  e: "b
RÄGEB  r E: "j e b
ALLÅHEB  a l O "h e b
AVÖHEB  a v 2: "h e b
EDVÖHEB  e d v 2: "h e b
REVÖHEB  r e v 2: "h e b
SVÖHEB  s f 2: "h e b
RAGALKEB  r a g A: l "k e b
NEB  n e: "b
NENEB  n e n e: "b
REB  r e: "b
DDEREB  d E "r e b
ROREB  r u: "r e b
ATTÄREB  a t E "r e b
EDATTÄREB  e d a t E "r e b
RATTÄREB  r a t E "r e b
TATTÄREB  t a t E "r e b
TULSEB  t }: l "s e b
AMMÄTSEB  a m E t "s e b
REMMÄTSEB  r e m E t "s e b
TMÄTSEB  t m E t "s e b
NEKIVSEB  n e k i: v "s e b
KÖSEB  k 2: "s e b
ALATEB  a l A: "t e b
EDALATEB  e d a l A: "t e b
RALATEB  r a l A: "t e b
